thumbDist, fingerDist, time
0.1343182,0.1500083,7.222496
0.1343182,0.1500083,7.239091
0.1283875,0.1496067,7.255634
0.1283875,0.1496067,7.272511
0.1329638,0.152632,7.289643
0.169061,0.1618614,7.306355
0.1177231,0.1555132,7.32191
0.1177231,0.1555132,7.338659
0.1236568,0.1517933,7.355038
0.1236568,0.1517933,7.37163
0.1219504,0.1505461,7.388175
0.1219504,0.1505461,7.404747
0.122762,0.1506579,7.421293
0.1135422,0.1506579,7.437917
0.1272757,0.1512203,7.45447
0.1272757,0.1512203,7.47154
0.1329091,0.1481276,7.488104
0.1329091,0.1481276,7.509496
0.1232714,0.1521339,7.521167
0.1232714,0.1521339,7.538034
0.1317836,0.1467792,7.553827
0.1317836,0.1467792,7.570468
0.1306372,0.143903,7.586958
0.1306372,0.143903,7.60355
0.1287962,0.1422576,7.620095
0.1287962,0.1422576,7.636692
0.1336622,0.1475336,7.653526
0.1336622,0.1475336,7.669828
0.1280248,0.1490623,7.689452
0.1280248,0.1490623,7.702954
0.1241556,0.1354926,7.719498
0.1241556,0.1354926,7.736271
0.1326862,0.1445123,7.753301
0.1326862,0.1445123,7.769238
0.1242315,0.1478934,7.785765
0.1242315,0.1478934,7.802504
0.1328351,0.1496375,7.8193
0.1328351,0.1496375,7.835509
0.1283782,0.1462322,7.852053
0.1283782,0.1462322,7.87084
0.1411882,0.1466304,7.88537
0.1411882,0.1466304,7.901754
0.1454375,0.1524956,7.918304
0.1454375,0.1524956,7.934927
0.1454375,0.1524956,7.951484
0.1356093,0.1633845,7.968565
0.1253326,0.1499728,7.984609
0.1253326,0.1499728,8.001169
0.1328286,0.1455543,8.017794
0.1328286,0.1455543,8.034506
0.1306251,0.1559727,8.050936
0.1306251,0.1559727,8.067616
0.1258639,0.1489126,8.084336
0.1258639,0.1489126,8.100569
0.1247384,0.1532825,8.117195
0.1247384,0.1532825,8.133806
0.1247384,0.1532825,8.15028
0.1311128,0.1513715,8.166803
0.1311128,0.1513715,8.183462
0.131016,0.1476646,8.200693
0.1342713,0.1500256,8.216518
0.1342713,0.1500256,8.233062
0.1342713,0.1500256,8.249687
0.134386,0.1531833,8.266278
0.134386,0.1531833,8.282826
0.129843,0.1400551,8.299644
0.129843,0.1400551,8.316285
0.1242271,0.1304494,8.332518
0.1242271,0.1304494,8.34911
0.1027578,0.112915,8.365621
0.1027578,0.112915,8.382377
0.1031163,0.1073159,8.398821
0.1031163,0.1073159,8.415625
